page,title,noindex,inbound_count,outbound_count,broken_count,inbound_from,broken_links
.well-known/agent-skills/dataset-discovery/index.html,Dataset Discovery,no,0,11,0,,
.well-known/agent-skills/resume-lookup/index.html,Resume Lookup,no,0,11,0,,
.well-known/agent-skills/topic-routing/index.html,Topic Routing,no,0,11,0,,
404.html,Page Not Found — Dzmitryi Kharlanau,yes,0,14,0,,
AGENTS/index.html,AGENTS.md,no,0,11,1,,../skill-hub/
ARCHITECTURE/index.html,CV AI Architecture,no,0,11,0,,
DESIGN-SYSTEM/index.html,CV AI Design System,no,0,11,0,,
PROJECT_MAP/index.html,PROJECT_MAP.md,no,0,11,0,,
about/index.html,About Dzmitryi Kharlanau — Verified Public Profile,no,678,11,7,.well-known/agent-skills/dataset-discovery/index.html | .well-known/agent-skills/resume-lookup/index.html | .well-known/agent-skills/topic-routing/index.html | 404.html | AGENTS/index.html | ARCHITECT,/ai/resume.yml | /ai/profile-audit.json | /ai/profile-audit.json | /ai/resume.yml | /ai/resume.json | /ai/profile-audit.json | /llms.txt
agent-skills/index.html,Agent Skills,no,0,11,1,,../skill-hub/
agent-skills/skills/acceptance-criteria/SKILL/index.html,Acceptance Criteria,no,0,11,0,,
agent-skills/skills/acceptance-criteria/references/examples/index.html,Acceptance Criteria — Examples,no,0,11,0,,
agent-skills/skills/acceptance-criteria/references/method/index.html,Acceptance Criteria — Detailed Method,no,0,11,0,,
agent-skills/skills/acceptance-criteria/references/templates/index.html,Acceptance Criteria — Templates,no,0,11,0,,
agent-skills/skills/architecture-decision-record/SKILL/index.html,Architecture Decision Record,no,0,11,0,,
agent-skills/skills/architecture-decision-record/references/examples/index.html,Architecture Decision Record — Examples,no,0,11,0,,
agent-skills/skills/architecture-decision-record/references/method/index.html,Architecture Decision Record — Detailed Method,no,0,11,0,,
agent-skills/skills/architecture-decision-record/references/templates/index.html,Architecture Decision Record — Templates,no,0,11,0,,
agent-skills/skills/change-impact-analysis/SKILL/index.html,Change Impact Analysis,no,0,11,0,,
agent-skills/skills/change-impact-analysis/references/examples/index.html,Change Impact Analysis — Examples,no,0,11,0,,
agent-skills/skills/change-impact-analysis/references/method/index.html,Change Impact Analysis — Detailed Method,no,0,11,0,,
agent-skills/skills/change-impact-analysis/references/templates/index.html,Change Impact Analysis — Templates,no,0,11,0,,
agent-skills/skills/data-governance-ownership/SKILL/index.html,Data Governance Ownership,no,0,11,0,,
agent-skills/skills/data-governance-ownership/references/examples/index.html,Data Governance Ownership — Examples,no,0,11,0,,
agent-skills/skills/data-governance-ownership/references/method/index.html,Data Governance Ownership — Detailed Method,no,0,11,0,,
agent-skills/skills/data-governance-ownership/references/templates/index.html,Data Governance Ownership — Templates,no,0,11,0,,
agent-skills/skills/data-quality-root-cause/SKILL/index.html,Data Quality Root Cause,no,0,11,0,,
agent-skills/skills/data-quality-root-cause/references/examples/index.html,Data Quality Root Cause — Examples,no,0,11,0,,
agent-skills/skills/data-quality-root-cause/references/method/index.html,Data Quality Root Cause — Detailed Method,no,0,11,0,,
agent-skills/skills/data-quality-root-cause/references/templates/index.html,Data Quality Root Cause — Templates,no,0,11,0,,
agent-skills/skills/incident-triage/SKILL/index.html,Incident Triage,no,0,11,0,,
agent-skills/skills/incident-triage/references/examples/index.html,Incident Triage — Examples,no,0,11,0,,
agent-skills/skills/incident-triage/references/method/index.html,Incident Triage — Detailed Method,no,0,11,0,,
agent-skills/skills/incident-triage/references/templates/index.html,Incident Triage — Templates,no,0,11,0,,
agent-skills/skills/integration-observability/SKILL/index.html,Integration Observability,no,0,11,0,,
agent-skills/skills/integration-observability/references/examples/index.html,Integration Observability — Examples,no,0,11,0,,
